"filename", "language", "C++", "CMake", "Swift", "XML", "JSON", "HTML", "Markdown", "Dart", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 9, 57
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\generated_plugin_registrant.cc", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 36
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\flutter\generated_plugins.cmake", "CMake", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 575, 465, 74, 479, 338, 19, 13, 4832, 51, 96, 8, 351, 666, 7967
